16384,0,3,7,7,970,761,91,91,377,0,1,2,3,4,0,1,2,1,1,0,1,2,4,0,2,4,2,0,1,0,0,4,4
4096,1,3,7,7,3017,91,377,811,2932,0,2,3,4,0,2,3,0,2,3,0,2,3,0,2,3,2,3,4,4,4,0,2,4
4096,1,2,7,7,3017,3017,811,2548,2177,0,2,4,0,2,4,0,2,4,2,0,1,2,3,4,2,3,3,3,4,4,0,1,3
2048,1,2,7,7,3017,91,785,91,2212,0,2,3,4,0,2,3,4,0,2,0,2,3,0,2,3,2,3,4,4,4,0,2,4
4096,2,1,7,7,2290,91,3052,2297,377,0,2,4,0,2,4,0,2,4,4,0,2,3,0,2,0,0,0,0,2,3,0,2,4
4096,1,2,7,7,2897,3010,91,91,785,1,2,3,4,1,3,4,3,4,3,1,2,4,2,4,2,2,2,1,1,1,0,1,4
2048,2,2,7,7,1132,91,3244,2297,91,1,2,3,4,1,2,4,2,4,2,0,1,2,3,4,0,3,4,0,2,3,0,2,2
4096,1,3,7,7,785,3017,2297,91,250,0,2,3,4,2,3,4,2,3,2,0,1,2,4,0,1,1,1,2,4,4,0,1,4
4096,1,2,7,7,2548,91,3268,2177,811,1,2,3,4,1,2,3,4,2,4,0,1,2,3,4,0,3,4,0,2,3,0,2,2
8192,1,3,7,7,3017,2897,811,977,3052,1,2,4,1,2,1,2,1,2,2,0,1,2,3,4,0,0,0,3,4,4,0,1,4
