4096,2,1,7,7,2297,2332,2863,377,91,2,3,4,4,4,4,4,0,1,2,3,4,0,2,0,1,2,1,1,3,1,3,2,2
4096,2,1,7,7,977,811,709,2897,377,1,2,4,4,4,4,4,0,1,0,1,0,1,0,0,2,2,2,3,4,3,3,2,2
3072,2,1,7,7,412,811,3509,1037,377,0,4,0,4,4,4,4,1,2,3,2,2,2,2,0,3,0,3,0,2,4,0,3,2
3072,2,1,7,7,499,1097,1331,2897,91,0,2,4,4,4,4,4,1,2,4,1,1,1,1,2,2,2,2,1,3,1,1,0,2
3072,2,1,7,7,2524,3077,2564,91,257,3,4,3,4,4,4,4,1,2,1,2,1,2,1,0,2,4,0,0,1,2,2,1,2
3072,2,1,7,7,1097,91,3518,64,91,3,4,3,4,4,4,4,0,2,3,4,0,2,3,2,3,2,2,0,2,3,3,3,2
3072,2,1,7,7,3619,65,1331,2897,91,1,2,4,4,4,4,4,1,2,4,1,1,1,1,2,2,2,2,1,3,1,1,0,2
3072,1,1,7,7,2897,3052,1217,1181,257,2,4,2,4,4,4,4,1,2,3,2,3,2,3,1,4,1,1,0,1,2,3,2,3
3072,1,1,7,7,4339,811,2342,754,91,3,4,3,4,4,4,4,1,2,3,4,2,3,3,2,3,2,2,2,3,3,3,2,0
2304,1,1,7,7,811,4339,2932,4154,91,2,4,2,4,4,4,4,0,2,4,0,2,0,0,2,3,3,3,2,3,2,2,3,1
