1536,0,3,7,7,1277,1097,3052,2524,653,4,0,1,2,4,0,0,2,3,4,2,2,0,1,2,3,1,0,4
1536,2,1,7,7,377,2897,4502,2297,3965,0,0,2,3,0,0,0,2,3,4,2,2,0,1,2,1,2,4,2
1536,2,1,7,7,377,2897,4502,2297,3965,0,0,2,3,0,0,0,2,3,4,2,2,0,1,2,1,2,4,2
1536,2,1,7,7,377,2897,4502,2297,3965,0,0,2,3,0,0,0,2,3,4,2,2,0,1,2,1,2,4,2
768,1,2,7,7,3739,811,1090,2524,4685,2,0,1,2,0,2,2,2,3,4,3,4,2,3,2,3,3,0,4
192,1,3,7,7,2177,2297,1028,2897,3440,3,1,2,3,4,2,2,0,1,2,4,4,2,3,4,2,3,4,2
384,1,3,7,7,977,4685,3797,3017,2524,4,0,2,3,4,2,2,0,1,4,1,4,2,3,4,2,3,2,1
9216,0,2,7,7,2897,2177,2177,2332,4874,0,0,3,0,3,0,0,1,2,3,4,2,0,3,4,4,4,0,4
18432,0,3,7,7,4063,811,2897,2524,2897,4,0,1,4,0,1,4,0,3,0,0,0,2,3,4,2,3,0,0
2304,2,1,7,7,3268,1219,2290,4339,3244,2,0,1,2,0,2,0,0,2,4,0,0,0,2,4,2,4,1,3
